symbol,exchange,date,adjusted close,option symbol,expiration,strike,call/put,style,ask,bid,volume,open interest,unadjusted
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00300000,03/31/17,300,C,E,2073.9,2062.9,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00300000,03/31/17,300,P,E,0.1,0,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00400000,03/31/17,400,C,E,1974.1,1962.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00400000,03/31/17,400,P,E,0.05,0,0,10,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00500000,03/31/17,500,C,E,1874.1,1862.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00500000,03/31/17,500,P,E,0.05,0,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00600000,03/31/17,600,C,E,1774.1,1762.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00600000,03/31/17,600,P,E,0.05,0,0,132,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00700000,03/31/17,700,C,E,1673.9,1662.9,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00700000,03/31/17,700,P,E,0.05,0,0,300,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00750000,03/31/17,750,C,E,1624.1,1612.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00750000,03/31/17,750,P,E,0.05,0,0,2,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00800000,03/31/17,800,C,E,1574.1,1562.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00800000,03/31/17,800,P,E,0.05,0,0,127,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00850000,03/31/17,850,C,E,1524.5,1513.2,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00850000,03/31/17,850,P,E,0.05,0,0,62,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00900000,03/31/17,900,C,E,1474.2,1463.2,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00900000,03/31/17,900,P,E,0.05,0,0,4,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C00950000,03/31/17,950,C,E,1424.4,1413,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P00950000,03/31/17,950,P,E,0.05,0,0,301,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01000000,03/31/17,1000,C,E,1374.4,1363,0,1,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01000000,03/31/17,1000,P,E,0.05,0,0,2421,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01025000,03/31/17,1025,C,E,1353.9,1338,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01025000,03/31/17,1025,P,E,0.05,0,0,336,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01050000,03/31/17,1050,C,E,1324.2,1313.2,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01050000,03/31/17,1050,P,E,0.05,0,0,100,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01075000,03/31/17,1075,C,E,1299.4,1288,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01075000,03/31/17,1075,P,E,0.05,0,0,51,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01100000,03/31/17,1100,C,E,1274.4,1263,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01100000,03/31/17,1100,P,E,0.05,0,0,19,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01125000,03/31/17,1125,C,E,1249.4,1238,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01125000,03/31/17,1125,P,E,0.05,0,0,419,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01150000,03/31/17,1150,C,E,1224.2,1213.2,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01150000,03/31/17,1150,P,E,0.05,0,0,116,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01175000,03/31/17,1175,C,E,1199.2,1187.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01175000,03/31/17,1175,P,E,0.05,0,0,99,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01200000,03/31/17,1200,C,E,1179.1,1162.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01200000,03/31/17,1200,P,E,0.05,0,0,1576,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01225000,03/31/17,1225,C,E,1149.2,1137.7,0,0,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01225000,03/31/17,1225,P,E,0.05,0,0,554,2368.927
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01250000,03/31/17,1250,C,E,1124,1112.9,0,0,2368.927
