Date,HiTec,Utils,Market,SMB,HML
1970-01-01,-9.66,-4.83,-8.1,2.93,3.13
1970-02-01,2.32,7.74,5.13,-2.58,3.93
1970-03-01,-3.15,2.34,-1.06,-2.32,3.99
1970-04-01,-14.84,-8.55,-11.0,-6.15,6.18
1970-05-01,-10.08,-5.89,-6.92,-4.59,3.33
1970-06-01,-12.35,-5.28,-5.79,-2.13,0.6
1970-07-01,1.83,8.18,6.93,-0.5,0.9
1970-08-01,7.47,4.14,4.49,1.52,1.15
1970-09-01,9.63,-1.06,4.18,8.59,-5.47
1970-10-01,-3.96,-1.28,-2.28,-4.21,0.22
1970-11-01,3.59,8.93,4.6,-3.94,1.69
1970-12-01,3.98,6.75,5.72,2.92,1.0
1971-01-01,5.01,2.55,4.84,7.36,1.33
1971-02-01,2.47,-2.92,1.41,1.86,-1.23
1971-03-01,7.76,2.11,4.13,2.62,-3.95
1971-04-01,2.04,-3.82,3.15,-0.49,0.69
1971-05-01,-6.43,-3.99,-3.98,-1.04,-1.44
1971-06-01,-2.55,3.93,-0.1,-1.47,-1.87
1971-07-01,-8.98,-2.53,-4.5,-1.48,0.02
1971-08-01,5.22,-2.79,3.79,-0.17,2.63
1971-09-01,-1.92,-1.87,-0.85,0.51,-2.91
1971-10-01,-4.72,1.68,-4.42,-1.76,-0.48
1971-11-01,1.4,-1.58,-0.46,-2.77,-1.68
1971-12-01,10.9,7.73,8.71,3.29,-0.4
1972-01-01,8.06,-0.59,2.49,5.85,2.24
1972-02-01,1.64,-2.75,2.87,1.3,-2.79
1972-03-01,0.82,-0.42,0.63,-0.24,-1.61
1972-04-01,0.47,-3.1,0.29,0.11,0.12
1972-05-01,3.43,-0.47,1.25,-2.69,-2.7
1972-06-01,-2.82,-1.84,-2.43,0.27,-2.48
1972-07-01,0.66,-0.27,-0.8,-2.87,0.66
1972-08-01,2.55,5.67,3.26,-4.03,4.54
1972-09-01,-1.49,-0.15,-1.14,-2.65,0.46
1972-10-01,-3.74,6.35,0.52,-2.73,1.34
1972-11-01,2.15,6.03,4.6,-1.2,4.85
1972-12-01,1.61,-1.91,0.62,-1.95,-2.19
1973-01-01,1.52,-4.72,-3.29,-3.49,2.68
1973-02-01,-3.41,-2.38,-4.85,-3.87,1.6
1973-03-01,-1.66,-2.61,-1.3,-2.82,2.62
1973-04-01,-7.17,-1.12,-5.68,-3.85,5.41
1973-05-01,-3.11,-0.15,-2.94,-6.3,0.41
1973-06-01,-0.56,-3.0,-1.57,-2.86,1.2
1973-07-01,4.31,-3.03,5.05,7.97,-5.31
1973-08-01,-4.39,-2.8,-3.82,-2.13,1.24
1973-09-01,-3.52,7.22,4.75,3.04,2.01
1973-10-01,3.26,-4.04,-0.83,-0.45,1.94
1973-11-01,-11.99,-12.16,-12.75,-7.67,3.87
1973-12-01,-4.96,2.78,0.61,-5.35,3.85
1974-01-01,0.61,3.92,-0.17,9.68,6.02
1974-02-01,-1.18,-0.29,-0.47,-0.18,2.81
1974-03-01,-3.27,-4.2,-2.81,2.6,-0.32
1974-04-01,-4.38,-12.94,-5.29,-0.74,0.85
1974-05-01,-4.95,-5.65,-4.68,-2.96,-2.02
1974-06-01,-3.54,-6.78,-2.83,-0.17,0.77
1974-07-01,-8.92,0.07,-8.05,0.84,5.16
1974-08-01,-5.5,-9.22,-9.35,-0.73,2.64
1974-09-01,-17.71,-2.12,-11.77,0.27,5.58
1974-10-01,14.21,12.5,16.1,-3.45,-9.87
1974-11-01,-5.48,-0.67,-4.51,-1.21,-0.2
1974-12-01,-5.95,-1.51,-3.45,-4.83,0.11
1975-01-01,14.72,18.22,13.66,11.14,8.28
1975-02-01,12.71,0.47,5.56,0.16,-4.45
1975-03-01,0.58,-1.73,2.66,3.79,2.38
1975-04-01,5.13,-2.05,4.23,-0.65,-1.14
1975-05-01,5.48,8.08,5.19,3.83,-4.1
1975-06-01,1.88,10.3,4.83,0.87,1.38
1975-07-01,-9.9,-5.26,-6.59,2.7,1.69
1975-08-01,-3.45,-1.72,-2.85,-3.25,-0.95
1975-09-01,-1.38,-1.52,-4.26,-0.1,0.39
1975-10-01,7.84,6.02,5.31,-4.03,0.28
1975-11-01,4.62,2.74,2.64,-1.2,2.03
1975-12-01,-1.73,0.86,-1.6,-0.78,1.69
1976-01-01,17.79,7.83,12.16,4.81,8.63
1976-02-01,0.82,-3.86,0.32,7.06,5.87
1976-03-01,2.53,1.04,2.32,-1.16,-0.12
1976-04-01,-3.83,0.21,-1.49,-0.11,-0.16
1976-05-01,0.12,-1.83,-1.34,-1.23,-1.36
1976-06-01,7.77,3.82,4.05,-1.32,0.71
1976-07-01,-2.67,2.35,-1.07,0.29,1.73
1976-08-01,-1.25,2.54,-0.56,-2.0,0.81
1976-09-01,2.46,3.64,2.07,-0.02,-0.29
1976-10-01,-4.91,-1.22,-2.42,0.22,-0.18
1976-11-01,1.24,2.74,0.36,2.32,1.51
1976-12-01,3.45,6.09,5.65,3.03,2.27
1977-01-01,-4.23,0.48,-4.05,4.76,4.27
1977-02-01,-0.98,-3.75,-1.94,1.04,0.47
1977-03-01,-0.41,-0.19,-1.37,1.0,1.09
1977-04-01,-3.84,1.56,0.15,-0.12,3.38
1977-05-01,-1.86,1.31,-1.45,1.18,0.85
1977-06-01,7.37,5.3,4.71,2.09,-0.74
1977-07-01,-0.58,0.45,-1.69,2.16,-0.56
1977-08-01,0.06,-3.67,-1.75,1.48,-2.7
1977-09-01,-2.21,1.58,-0.27,1.34,-0.52
1977-10-01,-3.71,-3.63,-4.38,1.25,1.75
1977-11-01,4.75,3.78,4.0,3.73,0.26
1977-12-01,1.9,-0.82,0.27,1.32,-0.29
1978-01-01,-5.24,-5.02,-6.01,2.24,3.36
1978-02-01,-3.91,-0.87,-1.38,3.59,0.83
1978-03-01,-1.14,1.94,2.85,3.49,1.18
1978-04-01,12.76,-0.36,7.88,0.45,-3.54
1978-05-01,1.16,0.2,1.76,4.56,-0.52
1978-06-01,-0.89,0.3,-1.69,1.66,0.57
1978-07-01,8.02,2.27,5.11,0.23,-1.15
1978-08-01,5.45,-0.1,3.75,5.06,-0.51
1978-09-01,-4.77,-0.86,-1.43,-0.43,1.89
1978-10-01,-11.51,-7.75,-11.91,-9.86,1.38
1978-11-01,4.39,2.3,2.71,2.97,-2.15
1978-12-01,5.64,-2.01,0.88,1.29,-2.13
1979-01-01,3.53,5.59,4.23,3.62,2.19
1979-02-01,-4.05,-2.36,-3.56,0.45,1.17
1979-03-01,6.8,1.52,5.68,3.26,-0.71
1979-04-01,-0.48,-3.54,-0.06,2.15,1.12
1979-05-01,-2.78,0.61,-2.21,0.21,1.31
1979-06-01,-0.31,4.16,3.85,1.17,1.44
1979-07-01,-2.28,1.31,0.82,1.28,1.86
1979-08-01,5.16,1.27,5.53,2.05,-1.58
1979-09-01,-2.58,-3.0,-0.82,-0.27,-0.9
1979-10-01,-8.6,-6.67,-8.1,-3.37,-1.84
1979-11-01,7.17,6.75,5.21,2.87,-3.29
1979-12-01,0.85,-1.94,1.79,4.17,-2.1
1980-01-01,6.56,0.76,5.51,1.62,1.75
1980-02-01,-4.44,-4.28,-1.22,-1.85,0.61
1980-03-01,-13.87,-7.8,-12.9,-6.64,-1.01
1980-04-01,-0.54,10.74,3.97,1.05,1.06
1980-05-01,4.01,3.78,5.26,2.13,0.38
1980-06-01,2.42,3.93,3.06,1.66,-0.76
1980-07-01,14.95,-0.63,6.49,4.14,-6.41
1980-08-01,3.02,-1.81,1.8,3.92,-2.6
1980-09-01,1.24,-0.6,2.19,0.98,-4.59
1980-10-01,1.02,0.99,1.06,2.47,-2.76
1980-11-01,8.88,6.42,9.59,-3.36,-8.33
1980-12-01,-2.48,-3.26,-4.52,-0.26,2.79
1981-01-01,-9.13,-3.61,-5.04,2.92,6.72
1981-02-01,-0.6,-2.34,0.57,-0.34,1.02
1981-03-01,3.78,1.77,3.56,3.54,0.64
1981-04-01,-0.91,-3.76,-2.11,4.4,2.28
1981-05-01,3.08,0.67,0.11,2.0,-0.42
1981-06-01,-8.07,2.09,-2.36,-0.83,5.13
1981-07-01,-5.03,1.56,-1.54,-2.19,-0.5
1981-08-01,-8.58,-2.11,-7.04,-1.95,4.76
1981-09-01,-5.14,-6.77,-7.17,-2.65,5.17
1981-10-01,4.0,3.67,4.92,2.23,-4.21
1981-11-01,0.43,4.85,3.36,-1.03,1.83
1981-12-01,-0.9,-3.2,-3.65,1.2,0.81
1982-01-01,1.93,-1.47,-3.24,-1.28,3.19
1982-02-01,-6.22,-1.28,-5.86,0.44,6.05
1982-03-01,-4.57,0.68,-1.87,-0.21,3.81
1982-04-01,6.31,2.71,3.27,1.47,-2.7
1982-05-01,-6.47,-1.58,-3.99,0.52,1.75
1982-06-01,-3.34,-3.17,-3.09,-0.4,1.53
1982-07-01,0.47,-3.62,-3.19,0.83,0.09
1982-08-01,12.03,11.24,11.14,-4.14,0.95
1982-09-01,0.66,0.55,1.29,2.95,0.28
1982-10-01,16.39,4.14,11.3,2.34,-3.66
1982-11-01,10.05,-0.47,4.67,4.67,-1.87
1982-12-01,1.98,3.65,0.55,-0.22,-0.02
1983-01-01,7.69,2.98,3.6,2.73,-0.75
1983-02-01,2.97,0.97,2.59,3.27,0.7
1983-03-01,0.04,-0.36,2.82,1.73,2.02
1983-04-01,6.78,4.05,6.67,0.5,0.49
1983-05-01,2.13,1.91,0.52,6.24,-1.4
1983-06-01,5.46,-1.21,3.07,0.95,-3.9
1983-07-01,-6.1,0.29,-4.07,1.5,5.62
1983-08-01,-1.87,0.76,-0.5,-4.28,5.54
1983-09-01,1.39,3.9,0.91,0.61,1.01
1983-10-01,-7.7,2.31,-3.44,-3.57,4.97
1983-11-01,1.64,-2.31,2.16,2.01,-0.72
1983-12-01,-0.37,-4.42,-1.78,-0.27,1.73
1984-01-01,-6.96,0.69,-1.92,-0.38,7.58
1984-02-01,-6.64,-4.04,-4.82,-1.69,3.33
1984-03-01,1.06,-1.02,0.63,0.07,0.46
1984-04-01,-1.24,-1.29,-0.51,-1.16,1.2
1984-05-01,-6.34,-1.58,-5.97,0.06,0.31
1984-06-01,1.01,-0.3,1.82,-0.3,-2.66
1984-07-01,-3.27,-0.83,-2.74,-2.21,0.36
1984-08-01,13.12,6.93,10.28,-0.24,-1.82
1984-09-01,-4.85,3.96,-0.8,0.17,5.28
1984-10-01,-1.49,2.34,-0.84,-1.23,0.45
1984-11-01,-4.57,2.33,-1.76,-0.65,4.06
1984-12-01,1.9,1.99,1.84,-0.56,-0.26
1985-01-01,11.96,1.74,7.99,3.31,-5.35
1985-02-01,-1.9,0.8,1.22,0.79,-0.1
1985-03-01,-6.64,5.48,-0.84,-1.08,4.07
1985-04-01,-4.36,0.89,-0.96,0.14,3.72
1985-05-01,2.18,4.79,5.09,-2.22,-0.96
1985-06-01,-1.26,3.08,1.27,0.52,0.38
1985-07-01,3.79,-5.32,-0.74,2.84,-1.62
1985-08-01,-3.09,1.36,-1.02,-0.3,2.32
1985-09-01,-5.33,-5.95,-4.54,-1.59,1.29
1985-10-01,2.36,5.67,4.02,-1.51,0.75
1985-11-01,8.03,3.63,6.48,0.25,-2.85
1985-12-01,7.62,4.2,3.88,-0.51,-1.54
1986-01-01,-0.85,3.22,0.65,1.21,0.44
1986-02-01,4.44,6.04,7.13,-0.54,-0.72
1986-03-01,-0.68,3.36,4.88,-0.59,-0.39
1986-04-01,3.41,-4.49,-1.31,2.78,-2.87
1986-05-01,0.47,3.14,4.62,-1.35,-0.21
1986-06-01,-4.49,4.52,1.03,-0.96,1.28
1986-07-01,-8.86,4.63,-6.45,-3.36,4.7
1986-08-01,6.52,7.44,6.07,-4.17,3.51
1986-09-01,-7.55,-9.54,-8.6,2.36,3.22
1986-10-01,0.12,4.79,4.66,-2.5,-1.42
1986-11-01,3.16,0.16,1.17,-1.91,-0.07
1986-12-01,-4.17,-3.78,-3.27,0.13,0.36
1987-01-01,16.11,8.88,12.47,-1.81,-3.16
1987-02-01,9.01,-2.57,4.39,3.49,-5.91
1987-03-01,2.16,-2.14,1.64,0.45,1.61
1987-04-01,3.94,-4.77,-2.11,-1.69,-0.39
1987-05-01,-0.08,-2.22,0.11,-0.5,0.23
1987-06-01,-0.51,2.92,3.94,-2.12,1.04
1987-07-01,0.54,-2.13,3.85,-0.69,0.68
1987-08-01,6.98,3.23,3.52,-0.77,-0.93
1987-09-01,-3.13,-2.76,-2.59,0.54,0.27
1987-10-01,-26.53,-7.52,-23.24,-8.43,4.24
1987-11-01,-10.18,-2.86,-7.77,2.72,2.95
1987-12-01,11.53,0.16,6.81,0.13,-4.43
1988-01-01,-2.79,9.48,4.21,-0.72,5.01
1988-02-01,6.99,-1.88,4.75,3.34,-1.71
1988-03-01,-5.12,-3.62,-2.27,6.15,0.73
1988-04-01,2.16,-0.75,0.56,1.0,1.67
1988-05-01,-1.84,3.07,-0.29,-2.6,2.42
1988-06-01,8.96,2.73,4.79,2.11,-1.24
1988-07-01,-5.62,-0.73,-1.25,-0.25,2.22
1988-08-01,-8.79,-0.71,-3.31,0.04,2.15
1988-09-01,2.22,2.05,3.3,-1.31,-0.75
1988-10-01,-0.63,1.91,1.15,-2.93,2.05
1988-11-01,-3.72,-1.05,-2.29,-1.72,1.41
1988-12-01,4.25,0.41,1.49,1.95,-1.69
1989-01-01,6.57,2.19,6.1,-2.23,0.6
1989-02-01,-4.37,-2.43,-2.25,2.82,1.01
1989-03-01,-6.17,-0.13,1.57,0.67,0.58
1989-04-01,4.5,3.27,4.33,-0.68,-1.42
1989-05-01,1.68,4.58,3.35,-0.05,-0.88
1989-06-01,-4.0,2.67,-1.35,-1.02,2.25
1989-07-01,2.26,5.1,7.2,-4.14,-2.79
1989-08-01,1.78,-1.54,1.44,0.56,0.6
1989-09-01,-3.33,-0.17,-0.76,0.32,-1.27
1989-10-01,-5.11,0.32,-3.67,-3.23,-1.11
1989-11-01,-2.48,2.54,1.03,-1.24,-1.09
1989-12-01,-1.73,4.18,1.16,-2.36,0.16
1990-01-01,-1.86,-5.91,-7.85,-1.24,0.85
1990-02-01,3.54,-0.36,1.11,0.99,0.64
1990-03-01,3.82,-1.39,1.83,1.5,-2.92
1990-04-01,-2.71,-6.19,-3.36,-0.46,-2.59
1990-05-01,11.9,4.75,8.42,-2.53,-3.83
1990-06-01,-1.8,0.12,-1.09,1.4,-1.93
1990-07-01,-8.03,0.21,-1.9,-3.12,-0.03
1990-08-01,-12.66,-7.28,-10.15,-3.57,1.64
1990-09-01,-7.24,-0.12,-6.12,-3.65,0.64
1990-10-01,-4.08,6.55,-1.92,-5.57,0.1
1990-11-01,10.7,1.72,6.35,0.43,-3.1
1990-12-01,3.52,0.18,2.46,0.81,-1.7
1991-01-01,14.5,-1.89,4.69,3.81,-1.6
1991-02-01,6.13,4.36,7.19,3.95,-0.58
1991-03-01,0.86,1.27,2.65,3.93,-1.39
1991-04-01,-3.41,-0.57,-0.28,0.48,1.5
1991-05-01,3.05,-0.32,3.65,-0.4,-0.52
1991-06-01,-9.2,-2.79,-4.94,0.13,1.15
1991-07-01,4.17,3.5,4.24,-0.92,-1.32
1991-08-01,2.38,3.05,2.32,1.58,-0.78
1991-09-01,-1.8,3.25,-1.59,1.64,-1.08
1991-10-01,1.58,0.83,1.29,0.81,-0.47
1991-11-01,-4.78,1.5,-4.19,-0.5,-1.89
1991-12-01,8.78,4.61,10.84,-2.24,-4.17
1992-01-01,6.36,-4.91,-0.59,8.46,4.71
1992-02-01,3.58,-1.52,1.09,0.87,6.47
1992-03-01,-5.52,-0.87,-2.66,-1.04,3.56
1992-04-01,-1.35,2.37,1.07,-6.06,4.34
1992-05-01,-0.26,2.26,0.3,0.41,1.19
1992-06-01,-4.48,0.22,-2.34,-3.07,3.24
1992-07-01,2.65,6.41,3.77,-0.47,-0.56
1992-08-01,-4.78,-0.73,-2.38,-0.13,-1.1
1992-09-01,3.14,0.57,1.19,0.54,-0.26
1992-10-01,1.89,-0.66,1.02,2.09,-1.98
1992-11-01,6.14,-0.46,4.13,3.76,-1.35
1992-12-01,-0.27,2.42,1.53,1.69,2.62
1993-01-01,4.63,2.22,0.93,1.89,5.94
1993-02-01,-0.55,6.0,0.12,-3.48,6.42
1993-03-01,1.98,1.51,2.3,0.24,1.18
1993-04-01,-3.99,-0.39,-3.05,-0.67,2.49
1993-05-01,8.59,-0.26,2.89,2.04,-3.42
1993-06-01,-0.66,2.93,0.31,-0.29,2.75
1993-07-01,-4.11,1.7,-0.34,0.96,2.85
1993-08-01,6.2,3.44,3.71,0.13,0.13
1993-09-01,1.06,-0.9,-0.12,3.04,-0.31
1993-10-01,1.4,-2.18,1.41,2.03,-2.76
1993-11-01,-0.3,-5.77,-1.89,-1.25,-0.74
1993-12-01,2.74,1.38,1.65,1.23,0.32
1994-01-01,4.44,-1.46,2.87,0.34,1.15
1994-02-01,1.42,-5.18,-2.55,2.8,-1.54
1994-03-01,-4.18,-4.19,-4.78,-1.08,1.6
1994-04-01,-1.87,1.86,0.68,-0.93,1.66
1994-05-01,1.69,-5.66,0.58,-2.15,0.67
1994-06-01,-5.55,-3.43,-3.03,-0.41,1.67
1994-07-01,3.56,4.88,2.82,-1.81,0.58
1994-08-01,8.93,0.29,4.01,1.45,-2.51
1994-09-01,-0.79,-3.14,-2.31,3.14,-1.89
1994-10-01,6.91,1.19,1.34,-2.24,-1.62
1994-11-01,-2.48,-0.1,-4.04,0.25,-0.7
1994-12-01,2.01,-0.09,0.86,0.22,-0.13
1995-01-01,-1.23,5.79,1.8,-3.5,2.57
1995-02-01,6.35,0.42,3.63,-0.66,1.08
1995-03-01,4.09,-2.21,2.19,-0.16,-2.15
1995-04-01,7.82,1.94,2.11,-0.49,1.71
1995-05-01,2.49,5.48,2.9,-2.55,2.29
1995-06-01,9.42,-0.92,2.72,3.18,-2.54
1995-07-01,7.45,-0.82,3.72,2.07,-1.62
1995-08-01,-0.53,0.52,0.55,1.35,2.79
1995-09-01,0.95,5.84,3.35,-2.2,-0.04
1995-10-01,0.92,1.01,-1.52,-3.78,-0.5
1995-11-01,-1.07,1.16,3.96,-1.09,0.51
1995-12-01,-4.81,4.6,1.03,0.7,0.22
1996-01-01,1.41,1.43,2.26,-2.73,0.38
1996-02-01,6.06,-3.04,1.33,1.79,-1.08
1996-03-01,-3.8,-0.9,0.73,1.49,0.35
1996-04-01,9.63,-3.12,2.06,5.23,-4.02
1996-05-01,3.53,0.9,2.36,3.17,-0.83
1996-06-01,-5.34,4.85,-1.14,-4.01,2.35
1996-07-01,-7.87,-6.26,-5.97,-4.31,5.14
1996-08-01,3.98,2.48,2.77,2.44,-0.74
1996-09-01,10.2,0.24,5.01,-0.98,-2.72
1996-10-01,-2.34,3.18,0.86,-4.44,4.94
1996-11-01,11.5,2.2,6.25,-4.02,1.39
1996-12-01,-3.16,-0.33,-1.7,3.16,1.31
1997-01-01,8.9,0.47,4.99,-1.95,-1.42
1997-02-01,-7.79,-0.96,-0.49,-3.22,5.67
1997-03-01,-6.1,-3.21,-5.03,-0.36,3.39
1997-04-01,7.22,-1.82,4.04,-5.77,0.07
1997-05-01,9.7,3.3,6.74,5.19,-4.13
1997-06-01,1.06,2.69,4.1,1.22,1.58
1997-07-01,15.55,2.38,7.33,-2.74,0.26
1997-08-01,-1.78,-1.57,-4.15,7.28,1.18
1997-09-01,3.02,4.2,5.35,2.53,0.37
1997-10-01,-8.71,0.51,-3.8,-0.73,2.27
1997-11-01,1.06,6.75,2.98,-5.12,1.2
1997-12-01,-4.7,7.46,1.32,-2.48,3.84
1998-01-01,4.85,-4.83,0.15,-1.07,-1.63
1998-02-01,9.96,2.24,7.04,0.32,-0.85
1998-03-01,0.93,6.36,4.76,-1.14,1.39
1998-04-01,4.72,-2.95,0.73,0.07,0.94
1998-05-01,-7.41,-1.28,-3.07,-3.38,3.44
1998-06-01,8.33,2.4,3.18,-3.21,-1.96
1998-07-01,0.05,-5.8,-2.46,-4.91,-1.78
1998-08-01,-18.08,1.53,-16.08,-5.69,3.53
1998-09-01,14.7,7.69,6.15,0.09,-3.42
1998-10-01,5.95,-2.1,7.13,-3.12,-2.23
1998-11-01,11.36,1.03,6.1,1.23,-3.25
1998-12-01,14.82,2.48,6.16,-0.5,-4.19
1999-01-01,14.75,-6.59,3.5,0.75,-4.6
1999-02-01,-11.83,-3.97,-4.08,-6.08,1.92
1999-03-01,7.98,-2.07,3.45,-3.8,-2.74
1999-04-01,1.9,6.98,4.33,3.91,2.46
1999-05-01,-1.1,6.38,-2.46,3.34,2.35
1999-06-01,11.22,-4.88,4.77,3.1,-3.19
1999-07-01,-2.09,-0.82,-3.49,2.6,-0.44
1999-08-01,5.11,0.16,-1.38,-0.94,-1.87
1999-09-01,-0.56,-4.72,-2.79,3.41,-3.49
1999-10-01,2.62,1.82,6.12,-6.64,-3.37
1999-11-01,12.35,-7.75,3.37,7.21,-6.12
1999-12-01,20.33,-2.72,7.72,7.03,-8.33
2000-01-01,-5.66,5.62,-4.74,5.77,-1.88
2000-02-01,17.57,-7.59,2.45,21.36,-9.59
2000-03-01,3.72,5.47,5.2,-17.2,8.13
2000-04-01,-10.96,7.02,-6.4,-6.68,7.26
2000-05-01,-11.26,3.47,-4.42,-6.05,4.75
2000-06-01,12.21,-5.12,4.64,12.84,-8.42
2000-07-01,-5.66,3.73,-2.51,-3.07,8.31
2000-08-01,12.18,11.26,7.03,-0.61,-1.39
2000-09-01,-15.33,8.65,-5.45,-1.82,7.17
2000-10-01,-8.04,-2.37,-2.76,-3.88,5.71
2000-11-01,-23.67,2.55,-10.72,-3.41,12.3
2000-12-01,-8.49,6.1,1.19,0.73,7.61
2001-01-01,15.49,-11.31,3.13,6.68,-5.07
2001-02-01,-26.43,5.78,-10.05,-0.78,12.47
2001-03-01,-14.28,0.82,-7.26,0.25,6.42
2001-04-01,17.65,5.14,7.94,0.55,-4.67
2001-05-01,-3.53,-0.08,0.72,2.5,3.36
2001-06-01,1.12,-6.33,-1.94,6.24,-1.12
2001-07-01,-7.83,-4.13,-2.13,-4.19,5.21
2001-08-01,-12.96,0.21,-6.46,2.48,2.31
2001-09-01,-19.26,-6.86,-9.25,-6.23,1.45
2001-10-01,15.51,1.65,2.46,7.48,-7.65
2001-11-01,15.72,-1.71,7.54,-0.47,2.21
2001-12-01,-0.79,3.89,1.6,4.74,0.84
2002-01-01,-0.64,-4.48,-1.44,1.19,3.44
2002-02-01,-13.22,-0.5,-2.29,-1.01,2.16
2002-03-01,6.34,10.15,4.24,4.21,1.06
2002-04-01,-11.92,-0.56,-5.2,5.96,3.88
2002-05-01,-3.88,-7.05,-1.38,-3.21,1.53
2002-06-01,-12.26,-5.93,-7.21,4.29,-0.05
2002-07-01,-9.89,-12.28,-8.18,-5.28,-3.85
2002-08-01,-1.08,3.27,0.5,-2.86,3.28
2002-09-01,-16.74,-10.98,-10.35,2.41,1.45
2002-10-01,19.26,-0.76,7.84,-3.42,-3.94
2002-11-01,16.12,1.45,5.96,3.19,-1.26
2002-12-01,-13.02,3.73,-5.76,0.08,2.14
2003-01-01,-1.6,-3.37,-2.57,1.32,-0.81
2003-02-01,1.08,-4.06,-1.88,-0.46,-1.37
2003-03-01,-1.05,4.21,1.09,1.02,-1.94
2003-04-01,9.08,7.21,8.22,0.62,1.15
2003-05-01,9.71,10.03,6.05,4.67,0.39
2003-06-01,0.25,0.64,1.42,1.74,0.11
2003-07-01,5.55,-5.22,2.35,5.06,-1.24
2003-08-01,6.0,1.85,2.34,2.59,1.53
2003-09-01,-0.99,3.77,-1.24,0.79,0.17
2003-10-01,8.21,1.44,6.08,2.69,1.97
