date,Mkt-RF,RF,SmallGrowth
197901,4.18,0.77,10.96
197902,-3.41,0.73,-2.09
197903,5.75,0.81,11.71
197904,0.05,0.8,3.27
197905,-2.18,0.82,-1.89
197906,3.88,0.81,7.4
197907,0.73,0.77,1.77
197908,5.7,0.77,9.32
197909,-0.69,0.83,-0.04
197910,-8.14,0.87,-10.56
197911,5.37,0.99,9.25
197912,1.87,0.95,12.14
198001,5.76,0.8,15.28
198002,-0.79,0.89,1.77
198003,-13.23,1.21,-21.65
198004,3.97,1.26,5.24
198005,5.2,0.81,6.93
198006,3.16,0.61,4.77
198007,6.41,0.53,11.3
198008,1.72,0.64,11.74
198009,2.2,0.75,8.51
198010,1.06,0.95,8.42
198011,9.54,0.96,14.84
198012,-4.75,1.31,-4.95
198101,-5.05,1.04,-2.1
198102,0.48,1.07,-3.01
198103,3.41,1.21,6.89
198104,-2.21,1.08,3.04
198105,0.21,1.15,3.83
198106,-2.37,1.35,-4.98
198107,-1.55,1.24,-4.08
198108,-6.91,1.28,-11.91
198109,-7.62,1.24,-13.64
198110,4.81,1.21,9.93
198111,3.51,1.07,-2.94
198112,-3.68,0.87,-4.44
198201,-3.42,0.8,-2.05
198202,-6.03,0.92,-8.04
198203,-1.99,0.98,-2.25
198204,3.2,1.13,6.35
198205,-3.88,1.06,-3.22
198206,-3.35,0.96,-6.33
198207,-3.1,1.05,-3.22
198208,11.14,0.76,3.55
198209,1.17,0.51,1.04
198210,11.27,0.59,16.05
198211,4.56,0.63,8.65
198212,0.78,0.67,2.9
198301,3.5,0.69,20.39
198302,2.4,0.62,3.1
198303,2.84,0.63,3.63
198304,6.71,0.71,7.86
198305,0.63,0.69,14.91
198306,3.11,0.67,5.41
198307,-3.9,0.74,-4.87
198308,-0.41,0.76,-6.13
198309,0.85,0.76,-3.79
198310,-3.56,0.76,-10.18
198311,2.26,0.7,2.79
198312,-1.78,0.73,-5.86
198401,-2.06,0.76,0.34
198402,-4.62,0.71,-7.31
198403,0.61,0.73,-1.55
198404,-0.56,0.81,-4.57
198405,-6.01,0.78,-6.38
198406,1.59,0.75,0.68
198407,-2.88,0.82,-7.62
198408,10.44,0.83,9.25
198409,-0.82,0.86,-2.21
198410,-1.01,1,-3.99
198411,-1.8,0.73,-6.55
198412,1.73,0.64,-0.84
198501,7.92,0.65,15.82
198502,1.11,0.58,6.58
198503,-0.79,0.62,-1.59
198504,-0.94,0.72,-2.76
198505,4.92,0.66,0.92
198506,1.16,0.55,-1.22
198507,-0.65,0.62,1.43
198508,-1.03,0.55,-1.45
198509,-4.58,0.6,-8.36
198510,3.79,0.65,-0.37
198511,6.31,0.61,3.64
198512,3.66,0.65,1.59
198601,0.42,0.56,5.7
198602,6.72,0.53,5.85
198603,4.79,0.6,3.88
198604,-1.31,0.52,1.36
198605,4.59,0.49,2.51
198606,0.9,0.52,0.47
198607,-6.49,0.52,-9.62
198608,6.16,0.46,-0.72
198609,-8.35,0.45,-8.18
198610,4.47,0.46,1.88
198611,1.12,0.39,-2.68
198612,-3.13,0.49,-6.11
