Year,     A,         B,      C       
1861,   10.094,   9.998,  
1862,   10.128,   9.994,   0.037
1863,   10.156,  10.044,   0.092
1864,         ,  10.061,   0.098
1865,   10.197,  10.076,   0.078
1866,   10.234,  10.064,   0.061
1867,   10.242,  10.060,   0.025
1868,   10.186,  10.057,  -0.002
1869,   10.235,  10.068,   0.107
1870,   10.343,  10.160,   0.071
1871,   10.379,  10.188,   0.022
1872,   10.438,  10.256,  -0.022
1873,   10.494,  10.315,  -0.060
1874,   10.505,  10.337,   0.005
1875,   10.485,  10.305,   0.074
